name,country,position,image,playerpage
Essaïd Belkalem,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/162395-1410444922.jpg?lm=1,https://www.transfermarkt.jp/essaid-belkalem/profil/spieler/162395
Rafik Halliche,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/67815-1537360335.jpg?lm=1,https://www.transfermarkt.jp/rafik-halliche/profil/spieler/67815
Liassine Cadamuro,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_89325_681_2012_10_25_1.jpg?lm=1,https://www.transfermarkt.jp/liassine-cadamuro/profil/spieler/89325
Nacereddine Khoualed,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/175194-1493924211.png?lm=1,https://www.transfermarkt.jp/nacereddine-khoualed/profil/spieler/175194
Madjid Bougherra,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_38074_26091_2014_03_03_1.jpg?lm=1,https://www.transfermarkt.jp/madjid-bougherra/profil/spieler/38074
Ali Rial,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_162419_13366_2012_1.jpg?lm=1,https://www.transfermarkt.jp/ali-rial/profil/spieler/162419
Faouzi Ghoulam,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/126656-1448529070.jpg?lm=1,https://www.transfermarkt.jp/faouzi-ghoulam/profil/spieler/126656
Djamel Mesbah,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/17735-1448965006.jpg?lm=1,https://www.transfermarkt.jp/djamel-mesbah/profil/spieler/17735
Carl Medjani,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/8060-1546172376.jpg?lm=1,https://www.transfermarkt.jp/carl-medjani/profil/spieler/8060
Mehdi Lacen,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/35539-1447229642.jpg?lm=1,https://www.transfermarkt.jp/mehdi-lacen/profil/spieler/35539
