name,country,position,image,worth,age
Georginio Wijnaldum,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/49499-1469085417.jpg?lm=1,7000000,23
Davy Pröpper,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/79027-1454587397.jpg?lm=1,3500000,22
Wesley Sneijder,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/4673-1473587409.jpeg?lm=1,17000000,29
Siem de Jong,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/45509-1629186499.jpg?lm=1,10000000,25
Rafael van der Vaart,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/4192-1447257367.jpg?lm=1,10000000,31
Jean-Paul Boëtius,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/182574-1628597027.jpg?lm=1,3500000,19
Davy Klaassen,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/182932-1666951645.jpg?lm=1,3500000,20
Quincy Promes,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/182381-1632578100.png?lm=1,300000,22
Arjen Robben,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/4360-1540568808.jpg?lm=1,25000000,30
Jeremain Lens,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/38497-1669399774.jpg?lm=1,9000000,26
Luciano Narsingh,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/72462-1668791643.png?lm=1,6000000,23
Dirk Kuyt,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/4010-1401971428.jpg?lm=1,4000000,33
Ruben Schaken,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/s_31453_234_2012_2.jpg?lm=1,2000000,31
Robin van Persie,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/4380-1516382956.jpg?lm=1,40000000,30
Klaas-Jan Huntelaar,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/4357-1471339801.jpg?lm=1,12000000,30
Memphis Depay,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/167850-1668167349.jpg?lm=1,5000000,19
Orestis Karnezis,ギリシャ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/16408-1595851100.jpg?lm=1,1500000,28
Panagiotis Glykos,ギリシャ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1000000,27
Michalis Sifakis,ギリシャ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/16444-1487770579.jpg?lm=1,750000,29
Sokratis Papastathopoulos,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/34322-1502448705.jpg?lm=1,15000000,25
Konstantinos Manolas,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/104752-1663850126.jpg?lm=1,6000000,22
Dimitrios Siovas,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/52403-1490621915.jpg?lm=1,3500000,25
Avraam Papadopoulos,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/12979-1411396560.jpg?lm=1,3200000,29
Georgios Tzavellas,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/42942-1567776277.png?lm=1,2000000,26
Sokratis Fytanidis,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1200000,29
Loukas Vyntra,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_16458_3368_2013_10_17_1.jpg?lm=1,1000000,32
Vangelis Moras,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/9850-1449060916.jpg?lm=1,700000,32
Jose Cholevas,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/41112-1418385082.jpg?lm=1,2500000,29
Nikolaos Spyropoulos,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_19286_265_2012_1.jpg?lm=1,800000,30
Vasilios Torosidis,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/24977-1459341419.jpg?lm=1,5500000,28
Giannis Maniatis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_25721_683_2012_1.jpg?lm=1,4000000,27
Panagiotis Tachtsidis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/62415-1596024051.jpg?lm=1,3000000,22
Andreas Samaris,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/140032-1603795411.jpg?lm=1,2500000,24
Alexandros Tziolis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_12883_3378_2012_1.jpg?lm=1,1200000,29
Konstantinos Katsouranis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_9852_1091_2014_04_06_1.jpg?lm=1,1500000,34
Panagiotis Kone,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/19636-1418723053.jpg?lm=1,5000000,26
Elini Dimoutsos,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1500000,25
Georgios Karagounis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_6106_931_2012_1.jpg?lm=1,1000000,36
Sotiris Ninis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/46062-1483966124.jpg?lm=1,3000000,23
Lazaros Christodoulopoulos,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/34283-1448965371.jpg?lm=1,1600000,27
Konstantinos Fortounis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/157539-1656972754.jpg?lm=1,1500000,21
Georgios Samaras,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/6855-1408705290.jpg?lm=1,3000000,28
Giannis Fetfatzidis,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/128931-1405018641.jpg?lm=1,3800000,23
Dimitrios Salpingidis,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,2500000,32
Konstantinos Mitroglou,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/34944-1554904582.jpg?lm=1,12000000,25
Stefanos Athanasiadis,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/45970-1494583653.jpg?lm=1,3500000,25
Dimitrios Papadopoulos,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1000000,32
Theofanis Gekas,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/16402-1442237074.jpg?lm=1,800000,33
Faryd Mondragón,コロンビア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_6100_3_2010_2.jpg?lm=1,250000,42
