name,country,position,image,worth,age
Alonso Escoboza,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/193344-1488311540.jpg?lm=1,1000000,20
Paul Aguilar,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/52606-1565160590.png?lm=1,2500000,27
Miguel Layún,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/58576-1445516135.jpg?lm=1,2300000,25
Severo Meza,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/53588-1469552528.png?lm=1,2000000,27
Enrique Pérez,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/102714-1441287624.jpg?lm=1,1800000,25
Rodrigo Salinas,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/83330-1580381436.jpg?lm=1,1700000,25
Rogelio Chávez,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/53178-1441285966.jpg?lm=1,900000,29
Jesús Molina,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/58591-1579697916.png?lm=1,2500000,25
Jesús Zavala,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_53598_2407_2013_06_24_2.jpg?lm=1,2300000,26
Antonio Ríos,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/103402-1580381664.jpg?lm=1,1800000,25
Gerardo Torrado,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/7713-1495717603.jpg?lm=1,1300000,34
José Juan Vázquez,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/203537-1579697863.png?lm=1,2500000,26
Javier Güemez,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/164749-1580382057.jpg?lm=1,1000000,22
Héctor Herrera,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/122043-1668454058.jpg?lm=1,10000000,24
Andrés Guardado,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/20506-1660318679.jpeg?lm=1,6000000,27
Juan Carlos Medina,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/53023-1506525248.jpg?lm=1,2300000,30
Fernando Arce,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/29570-1414573026.jpg?lm=1,1000000,34
Arturo González,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/185012-1666783411.jpg?lm=1,1000000,19
Marco Fabián,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/67685-1549988783.JPG?lm=1,5000000,24
Carlos Peña,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/147266-1498211139.jpg?lm=1,3000000,24
Christian Gimenez,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/28085-1507888706.jpg?lm=1,2300000,32
Luis Montes,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/52618-1558355072.png?lm=1,2500000,28
Sinha,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/31351-1469116181.png?lm=1,800000,38
Rodolfo Pizarro,メキシコ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/234918-1583576942.jpg?lm=1,1500000,20
Damián Álvarez,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/52588-1471449801.png?lm=1,1000000,35
Javier Aquino,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/111082-1497615057.jpg?lm=1,3000000,23
Isaác Brizuela,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/121166-1579697544.png?lm=1,2000000,24
Luis Ángel Mendoza,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/142176-1506590675.png?lm=1,1700000,23
Giovani dos Santos,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/44674-1565165236.png?lm=1,10000000,24
Ángel Reyna,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/53829-1441798926.jpg?lm=1,2000000,29
Cuauhtémoc Blanco,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/28066-1593522573.jpg?lm=1,150000,41
Chicharito,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/50935-1646079369.JPG?lm=1,16000000,25
Oribe Peralta,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/53563-1497615119.jpg?lm=1,4600000,29
Raúl Jiménez,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/206040-1668454631.jpg?lm=1,3000000,22
Aldo de Nigris,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/53787-1469189075.png?lm=1,3000000,30
Javier Orozco,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/82784-1452772908.jpg?lm=1,1900000,26
Alan Pulido,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/143045-1618855055.jpg?lm=1,1800000,22

done
